# ./get-letter-freqs.py --sort answers.txt
e	112	7	23	15	28	39
r	107	11	39	20	16	21
a	97	15	26	30	21	5
o	81	3	37	27	11	3
t	71	12	8	11	11	29
i	64	2	19	29	14	0
l	61	6	15	13	11	16
s	57	28	5	5	14	5
c	52	22	1	3	20	6
n	45	1	5	11	19	9
u	45	5	13	20	7	0
d	39	10	1	5	9	14
p	38	19	5	5	4	5
b	37	20	5	6	3	3
y	36	1	2	1	0	32
g	35	15	2	7	7	4
h	34	6	9	1	3	15
m	28	9	1	5	10	3
f	24	17	1	2	2	2
k	22	3	0	0	6	13
w	15	7	4	2	2	0
v	11	3	2	3	3	0
x	5	0	1	2	1	1
z	4	0	0	1	3	0
j	3	1	1	1	0	0
q	2	2	0	0	0	0
